Date,Zone,Tree ID,Distance from water (m),Soil Moisture (unit),Moss Height (cm),Moss Width (cm),bhd (cm),% cover,Temperature (°C)
24-Aug,South Reservoir,1,10.97,6.1,9.1,14.9,15,6.026222222,21
24-Aug,South Reservoir,2,16.5,6,6,11,8.6,5.11627907,21
24-Aug,South Reservoir,3,29.7,4.5,12.1,34.2,44,6.27,21
24-Aug,South Reservoir,4,30,5.1,32.5,62.6,150,9.042222222,22
24-Aug,South Reservoir,5,28.6,6.6,11.6,45.6,53,6.653584906,22
24-Aug,South Reservoir,6,27.1,7.7,14,78,63.4,11.48264984,22
24-Aug,South Reservoir,7,18.5,9.5,17,10.16,10.6,10.86289308,22
24-Aug,South Reservoir,8,20.2,7,10.5,10,9.2,7.608695652,22
24-Aug,South Reservoir,9,28.16,9,24.7,75,138,8.949275362,22
24-Aug,South Reservoir,10,27.91,8.4,29.2,192,129,28.97364341,22
24-Aug,South Reservoir,11,29,8,45,45,154.5,8.737864078,22
24-Aug,South Reservoir,12,29.8,7,64,210,151,59.33774834,22
24-Aug,South Reservoir,13,28.5,4,13.3,16,20.9,6.787878788,22
24-Aug,South Reservoir,14,23.6,3.7,11.5,14.2,34.4,3.164728682,22
24-Aug,South Reservoir,15,27.6,3.4,12,26,16.5,12.60606061,22
24-Aug,South Reservoir,16,27.7,3,13.8,27,18.4,13.5,22
24-Aug,South Reservoir,17,15.7,2.9,15.1,67,140.9,4.786846463,22
24-Aug,South Reservoir,18,21.43,1,20.6,91,123,10.1604336,22
24-Aug,South Reservoir,19,21.76,8,13.9,135,101,12.38613861,22
24-Aug,South Reservoir,20,25.02,7,12,21.5,33.5,5.134328358,22
25-Aug,South Forest,21,N/A,7,10,22,88.3,1.661004153,25
25-Aug,South Forest,22,N/A,8.1,14,22.4,80.9,2.584260404,25
25-Aug,South Forest,23,N/A,9.1,22,34.7,49,10.38639456,25
25-Aug,South Forest,24,N/A,9.1,24.5,26.1,42.2,10.10189573,25
25-Aug,South Forest,25,N/A,10,22,58.1,61.7,13.81091302,25
25-Aug,South Forest,26,N/A,9,14,20,66.4,2.81124498,25
25-Aug,South Forest,27,N/A,10,25.5,39.1,69,9.633333333,25
25-Aug,South Forest,28,N/A,8,21.5,24,65.2,5.27607362,25
25-Aug,South Forest,29,N/A,9.8,14.5,26.3,53.1,4.78782172,25
25-Aug,South Forest,30,N/A,8.2,14,35,68.5,4.768856448,25
25-Aug,South Forest,31,N/A,8.1,16.3,21.2,25.5,9.034248366,25
25-Aug,South Forest,32,N/A,10,20,25.6,46.9,7.277896233,25
25-Aug,South Forest,33,N/A,4,24,24.9,38.8,10.26804124,25
25-Aug,South Forest,34,N/A,4.9,17,28.2,52.1,6.134357006,25
25-Aug,South Forest,35,N/A,8.1,28,30.2,59.4,9.490460157,25
25-Aug,South Forest,36,N/A,5.1,17.5,12.4,32.5,4.451282051,25
25-Aug,South Forest,37,N/A,5.3,15.2,44.2,74,6.052612613,25
25-Aug,South Forest,38,N/A,4.9,12,27.5,65.1,3.379416283,25
25-Aug,South Forest,39,N/A,5.1,15.5,34.1,60.9,5.785987958,25
25-Aug,South Forest,40,N/A,3.1,22.1,33.2,77.7,6.295323895,25
25-Aug,North Pond,41,20,8.1,12.5,22.1,93,1.980286738,25
25-Aug,North Pond,42,23.8,8,18.3,37.4,64.6,7.063157895,25
25-Aug,North Pond,43,24,7.2,11,25,101.5,1.806239737,25
25-Aug,North Pond,44,25.6,6,17,53.1,60.1,10.01331115,25
25-Aug,North Pond,45,26.4,10,10.5,70.4,98.9,4.98281092,25
25-Aug,North Pond,46,26.8,7.1,9.3,28.9,90.5,1.979889503,25
